% Year	Month	Day	Hour	Minute	Sec	Lat	Lon	Depth	Magnitude	ID	parID	Gen	OrigTime	distToParent	nthERFIndex	FSS_ID	GridNodeIndex
2018	01	03	05	56	06.797	34.339579383461945	-117.59826765058605	1.5915613320813708	3.55	1790	449	2	1514958966797	1.8060130238311853	598764	-1	1557
2018	01	03	06	11	27.296	34.386272721439155	-117.77556210969543	7.556784021675673	2.65	2134	1415	2	1514959887296	0.2509648125523551	616730	-1	1641
2018	01	03	06	26	32.386	34.30618092713717	-117.54274694340624	2.3594016270575238	2.55	1582	0	1	1514960792386	0.027155448889599743	598754	-1	1557
2018	01	03	06	33	40.739	34.286101306700736	-117.50298211583313	5.296556036488168	2.55	968	0	1	1514961220739	1.1890464365076596	598871	-1	1558
2018	01	03	06	35	49.424	34.344372038974505	-117.53868633306033	9.675830941965017	3.15	2238	387	2	1514961349424	4.629157049270436	598799	-1	1558
2018	01	03	06	55	44.953	34.18698794705104	-117.3605318656828	4.310812126016975	3.15	572	0	1	1514962544953	6.661067067910735	582518	-1	1474
2018	01	03	07	06	01.238	34.29288895964089	-117.5235386231467	6.63298950539463	2.55	2364	998	2	1514963161238	0.03484377883932511	598832	-1	1558
2018	01	03	07	14	22.369	34.35404677548615	-117.65544315262984	7.456509057788746	2.65	2369	469	2	1514963662369	0.12069973985552798	598677	-1	1557
2018	01	03	07	17	09.133	33.79376399257748	-118.45542539607884	11.715032428391154	3.15	1778	449	2	1514963829133	99.52375748820853	515782	-1	1134
2018	01	03	07	31	55.099	34.279719173953225	-117.48644822734963	9.236877059586627	2.55	2106	1003	2	1514964715099	0.7201115677528743	598832	-1	1558
2018	01	03	07	56	30.643	34.34863016302687	-117.64197584902567	11.683795116474757	3.6500000000000004	905	0	1	1514966190643	0.02771646063384644	598765	-1	1557
2018	01	03	08	01	32.355	34.317583478543405	-117.60982775808682	3.1089278286580657	2.75	1087	0	1	1514966492355	2.0381987948631726	598756	-1	1557
2018	01	03	08	54	11.956	34.24145227943158	-117.40618917579302	6.700227689365412	3.05	194	0	1	1514969651956	0.19660125411672988	599107	-1	1559
2018	01	03	09	02	27.418	34.35329895841854	-117.62780195928663	12.072584806627413	2.75	916	0	1	1514970147418	0.19845836440977627	617111	-1	1643
2018	01	03	09	29	38.925	34.32207206977686	-117.5458126061158	8.764712130593924	2.55	940	0	1	1514971778925	0.1001007504655968	598676	-1	1557
2018	01	03	09	43	14.975	34.44248488246726	-117.88119597713205	6.542692483663608	3.75	1860	46	2	1514972594975	3.0972044209636547	616433	-1	1640
2018	01	03	10	36	50.692	34.43164872960301	-117.8079541362298	6.054127476959146	2.8499999999999996	789	0	1	1514975810692	0.583834559553303	616732	-1	1641
2018	01	03	10	47	47.993	34.374701626907246	-117.68048139369303	7.077632563558923	2.55	1187	0	1	1514976467993	0.0682627093227733	616881	-1	1642
2018	01	03	11	00	35.748	34.42018854557172	-117.58058701715545	5.29965253856057	2.8499999999999996	1043	0	1	1514977235748	10.962944192380187	617150	-1	1643
2018	01	03	11	00	48.516	34.24282616551437	-117.40065628278933	3.1777976790854696	2.55	1618	0	1	1514977248516	0.5570097477001528	582590	-1	1474
2018	01	03	11	33	35.315	34.27752396144838	-117.4504639122114	10.18762088052994	3.15	163	0	1	1514979215315	0.5345424249155257	598799	-1	1558
