Subsection Index,Subsection Name,Total Mean Annual Rate,Total 10 Year Prob
102,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 1",0.0,0.0
103,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 2",0.0,0.0
104,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 3",0.0,0.0
105,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 4",0.0,0.0
106,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 5",0.0,0.0
107,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 6",0.0,0.0
108,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 7",0.0,0.0
109,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 8",0.0,0.0
110,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 9",0.0,0.0
111,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 10",0.0,0.0
112,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 11",0.0,0.0
113,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 12",0.0,0.0
114,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 13",0.0,0.0
115,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 14",0.0,0.0
116,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 15",0.0,0.0
117,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 16",0.0,0.0
118,"Big Lagoon - Bald Mtn 2011 CFM, Subsection 17",0.0,0.0
119,"Big Pine (Central), Subsection 0",0.0,0.0
120,"Big Pine (Central), Subsection 1",0.0,0.0
121,"Big Pine (Central), Subsection 2",0.0,0.0
122,"Big Pine (Central), Subsection 3",0.0,0.0
123,"Big Pine (Central), Subsection 4",0.0,0.0
124,"Big Pine (Central), Subsection 5",0.0,0.0
125,"Big Pine (Central), Subsection 6",0.0,0.0
126,"Big Pine (East), Subsection 0",0.0,0.0
127,"Big Pine (East), Subsection 1",0.0,0.0
128,"Big Pine (East), Subsection 2",0.0,0.0
129,"Big Pine (East), Subsection 3",0.0,0.0
130,"Big Pine (West), Subsection 0",0.0,0.0
131,"Big Pine (West), Subsection 1",0.0,0.0
132,"Big Pine (West), Subsection 2",0.0,0.0
133,"Blackwater, Subsection 0",0.0,0.0
134,"Blackwater, Subsection 1",0.0,0.0
135,"Blackwater, Subsection 2",0.0,0.0
136,"Blackwater, Subsection 3",0.0,0.0
137,"Blackwater, Subsection 4",0.0,0.0
138,"Blackwater, Subsection 5",0.0,0.0
139,"Blackwater, Subsection 6",0.0,0.0
140,"Blackwater, Subsection 7",0.0,0.0
141,"Blackwater, Subsection 8",0.0,0.0
142,"Blackwater, Subsection 9",0.0,0.0
143,"Blackwater, Subsection 10",0.0,0.0
144,"Blue Cut, Subsection 0",0.0,0.0
145,"Blue Cut, Subsection 1",0.0,0.0
146,"Blue Cut, Subsection 2",0.0,0.0
147,"Blue Cut, Subsection 3",0.0,0.0
148,"Blue Cut, Subsection 4",0.0,0.0
149,"Blue Cut, Subsection 5",0.0,0.0
150,"Blue Cut, Subsection 6",0.0,0.0
151,"Blue Cut, Subsection 7",0.0,0.0
152,"Blue Cut, Subsection 8",0.0,0.0
153,"Blue Cut, Subsection 9",0.0,0.0
154,"Blue Cut, Subsection 10",0.0,0.0
155,"Blue Cut, Subsection 11",0.0,0.0
156,"Blue Cut, Subsection 12",0.0,0.0
157,"Brawley (Seismic Zone) alt 1, Subsection 0",0.01,0.1
158,"Brawley (Seismic Zone) alt 1, Subsection 1",0.01,0.1
159,"Brawley (Seismic Zone) alt 1, Subsection 2",0.01,0.1
160,"Brawley (Seismic Zone) alt 1, Subsection 3",0.01,0.1
161,"Brawley (Seismic Zone) alt 1, Subsection 4",0.01,0.1
162,"Brawley (Seismic Zone) alt 1, Subsection 5",0.01,0.1
163,"Brawley (Seismic Zone) alt 1, Subsection 6",0.01,0.1
164,"Brawley (Seismic Zone) alt 1, Subsection 7",0.01,0.1
165,"Brawley (Seismic Zone) alt 1, Subsection 8",0.01,0.1
166,"Brawley (Seismic Zone) alt 1, Subsection 9",0.01,0.1
167,"Breckenridge 2011, Subsection 0",0.0,0.0
168,"Breckenridge 2011, Subsection 1",0.0,0.0
169,"Bullion Mountains, Subsection 0",0.0,0.0
170,"Bullion Mountains, Subsection 1",0.0,0.0
171,"Bullion Mountains, Subsection 2",0.0,0.0
172,"Bullion Mountains, Subsection 3",0.0,0.0
173,"Bullion Mountains, Subsection 4",0.0,0.0
174,"Bullion Mountains, Subsection 5",0.0,0.0
175,"Burnt Mtn, Subsection 0",0.0,0.0
176,"Burnt Mtn, Subsection 1",0.0,0.0
177,"Burnt Mtn, Subsection 2",0.0,0.0
178,"Butano 2011 CFM, Subsection 0",0.0,0.0
179,"Butano 2011 CFM, Subsection 1",0.0,0.0
180,"Butano 2011 CFM, Subsection 2",0.0,0.0
181,"Butano 2011 CFM, Subsection 3",0.0,0.0
182,"Butano 2011 CFM, Subsection 4",0.0,0.0
183,"Butano 2011 CFM, Subsection 5",0.0,0.0
184,"Butano 2011 CFM, Subsection 6",0.0,0.0
185,"Butano 2011 CFM, Subsection 7",0.0,0.0
186,"Cady, Subsection 0",0.0,0.0
187,"Cady, Subsection 1",0.0,0.0
188,"Cady, Subsection 2",0.0,0.0
189,"Cady, Subsection 3",0.0,0.0
190,"Cady, Subsection 4",0.0,0.0
191,"Calaveras (Central) 2011 CFM, Subsection 0",0.01,0.1
192,"Calaveras (Central) 2011 CFM, Subsection 1",0.01,0.1
193,"Calaveras (Central) 2011 CFM, Subsection 2",0.01,0.1
194,"Calaveras (Central) 2011 CFM, Subsection 3",0.01,0.1
195,"Calaveras (Central) 2011 CFM, Subsection 4",0.01,0.1
196,"Calaveras (Central) 2011 CFM, Subsection 5",0.01,0.1
197,"Calaveras (Central) 2011 CFM, Subsection 6",0.01,0.1
198,"Calaveras (Central) 2011 CFM, Subsection 7",0.01,0.1
199,"Calaveras (Central) 2011 CFM, Subsection 8",0.01,0.1
200,"Calaveras (Central) 2011 CFM, Subsection 9",0.01,0.1
201,"Calaveras (No) 2011 CFM, Subsection 0",0.0,0.0
202,"Calaveras (No) 2011 CFM, Subsection 1",0.0,0.0
203,"Calaveras (No) 2011 CFM, Subsection 2",0.0,0.0
204,"Calaveras (No) 2011 CFM, Subsection 3",0.0,0.0
205,"Calaveras (No) 2011 CFM, Subsection 4",0.0,0.0
206,"Calaveras (No) 2011 CFM, Subsection 5",0.0,0.0
207,"Calaveras (No) 2011 CFM, Subsection 6",0.0,0.0
208,"Calaveras (So) - Paicines extension 2011 CFM, Subsection 0",0.01,0.1
209,"Calaveras (So) - Paicines extension 2011 CFM, Subsection 1",0.01,0.1
210,"Calaveras (So) - Paicines extension 2011 CFM, Subsection 2",0.01,0.1
211,"Calaveras (So) - Paicines extension 2011 CFM, Subsection 3",0.01,0.1
212,"Calaveras (So) - Paicines extension 2011 CFM, Subsection 4",0.01,0.1
213,"Calaveras (So) - Paicines extension 2011 CFM, Subsection 5",0.01,0.1
214,"Calaveras (So) - Paicines extension 2011 CFM, Subsection 6",0.0,0.0
215,"Calaveras (So) - Paicines extension 2011 CFM, Subsection 7",0.0,0.0
216,"Calaveras (So) - Paicines extension 2011 CFM, Subsection 8",0.0,0.0
217,"Calaveras (So) 2011 CFM, Subsection 0",0.01,0.1
218,"Calaveras (So) 2011 CFM, Subsection 1",0.01,0.1
219,"Calaveras (So) 2011 CFM, Subsection 2",0.01,0.1
220,"Calaveras (So) 2011 CFM, Subsection 3",0.01,0.1
221,"Calaveras (So) 2011 CFM, Subsection 4",0.01,0.1
222,"Calaveras (So) 2011 CFM, Subsection 5",0.01,0.1
223,"Calico-Hidalgo, Subsection 0",0.0,0.0
224,"Calico-Hidalgo, Subsection 1",0.0,0.0
225,"Calico-Hidalgo, Subsection 2",0.0,0.0
226,"Calico-Hidalgo, Subsection 3",0.0,0.0
227,"Calico-Hidalgo, Subsection 4",0.0,0.0
228,"Calico-Hidalgo, Subsection 5",0.0,0.0
229,"Calico-Hidalgo, Subsection 6",0.0,0.0
230,"Calico-Hidalgo, Subsection 7",0.01,0.1
231,"Calico-Hidalgo, Subsection 8",0.01,0.1
232,"Calico-Hidalgo, Subsection 9",0.01,0.1
233,"Calico-Hidalgo, Subsection 10",0.01,0.1
234,"Calico-Hidalgo, Subsection 11",0.01,0.1
235,"Calico-Hidalgo, Subsection 12",0.01,0.1
236,"Calico-Hidalgo, Subsection 13",0.01,0.1
237,"Calico-Hidalgo, Subsection 14",0.01,0.1
238,"Calico-Hidalgo, Subsection 15",0.01,0.1
239,"Calico-Hidalgo, Subsection 16",0.01,0.1
240,"Calico-Hidalgo, Subsection 17",0.01,0.1
241,"Camp Rock 2011, Subsection 0",0.0,0.0
242,"Camp Rock 2011, Subsection 1",0.0,0.0
243,"Camp Rock 2011, Subsection 2",0.0,0.0
244,"Camp Rock 2011, Subsection 3",0.0,0.0
245,"Camp Rock 2011, Subsection 4",0.0,0.0
246,"Camp Rock 2011, Subsection 5",0.0,0.0
247,"Canada David (Detachment), Subsection 0",0.0,0.0
248,"Canada David (Detachment), Subsection 1",0.0,0.0
249,"Canada David (Detachment), Subsection 2",0.0,0.0
250,"Carlsbad, Subsection 0",0.0,0.0
251,"Carlsbad, Subsection 1",0.0,0.0
252,"Carlsbad, Subsection 2",0.0,0.0
253,"Carlsbad, Subsection 3",0.0,0.0
254,"Carlsbad, Subsection 4",0.0,0.0
255,"Carlsbad, Subsection 5",0.0,0.0
256,"Carlsbad, Subsection 6",0.0,0.0
257,"Carson Range (Genoa), Subsection 0",0.0,0.0
258,"Carson Range (Genoa), Subsection 1",0.0,0.0
259,"Carson Range (Genoa), Subsection 2",0.0,0.0
260,"Carson Range (Genoa), Subsection 3",0.0,0.0
261,"Carson Range (Genoa), Subsection 4",0.0,0.0
262,"Carson Range (Genoa), Subsection 5",0.0,0.0
263,"Carson Range (Genoa), Subsection 6",0.0,0.0
264,"Casmalia 2011 CFM, Subsection 0",0.0,0.0
265,"Casmalia 2011 CFM, Subsection 1",0.0,0.0
266,"Casmalia 2011 CFM, Subsection 2",0.0,0.0
267,"Casmalia 2011 CFM, Subsection 3",0.0,0.0
268,"Casmalia 2011 CFM, Subsection 4",0.0,0.0
269,"Casmalia 2011 CFM, Subsection 5",0.0,0.0
270,"Casmalia 2011 CFM, Subsection 6",0.0,0.0
271,"Casmalia 2011 CFM, Subsection 7",0.0,0.0
272,"Cedar Mtn-Mahogany Mtn, Subsection 0",0.0,0.0
273,"Cedar Mtn-Mahogany Mtn, Subsection 1",0.0,0.0
274,"Cedar Mtn-Mahogany Mtn, Subsection 2",0.0,0.0
275,"Cedar Mtn-Mahogany Mtn, Subsection 3",0.0,0.0
276,"Cedar Mtn-Mahogany Mtn, Subsection 4",0.0,0.0
277,"Cedar Mtn-Mahogany Mtn, Subsection 5",0.0,0.0
278,"Cedar Mtn-Mahogany Mtn, Subsection 6",0.0,0.0
279,"Cedar Mtn-Mahogany Mtn, Subsection 7",0.0,0.0
280,"Cedar Mtn-Mahogany Mtn, Subsection 8",0.0,0.0
281,"Cedar Mtn-Mahogany Mtn, Subsection 9",0.0,0.0
282,"Cedar Mtn-Mahogany Mtn, Subsection 10",0.0,0.0
283,"Cedar Mtn-Mahogany Mtn, Subsection 11",0.0,0.0
284,"Cedar Mtn-Mahogany Mtn, Subsection 12",0.0,0.0
285,"Cedar Mtn-Mahogany Mtn, Subsection 13",0.0,0.0
286,"Cedar Mtn-Mahogany Mtn, Subsection 14",0.0,0.0
287,"Cerro Prieto, Subsection 0",0.0,0.0
288,"Cerro Prieto, Subsection 1",0.01,0.1
289,"Cerro Prieto, Subsection 2",0.01,0.1
290,"Cerro Prieto, Subsection 3",0.01,0.1
291,"Cerro Prieto, Subsection 4",0.01,0.1
292,"Cerro Prieto, Subsection 5",0.01,0.1
293,"Cerro Prieto, Subsection 6",0.01,0.1
294,"Cerro Prieto, Subsection 7",0.01,0.1
295,"Cerro Prieto, Subsection 8",0.01,0.1
296,"Cerro Prieto, Subsection 9",0.01,0.1
297,"Cerro Prieto, Subsection 10",0.01,0.1
298,"Cerro Prieto, Subsection 11",0.01,0.1
299,"Channel Islands Thrust, Subsection 0",0.0,0.0
300,"Channel Islands Thrust, Subsection 1",0.0,0.0
301,"Channel Islands Thrust, Subsection 2",0.0,0.0
302,"Channel Islands Thrust, Subsection 3",0.0,0.0
303,"Channel Islands Thrust, Subsection 4",0.0,0.0
304,"Channel Islands Thrust, Subsection 5",0.0,0.0
305,"Channel Islands Western Deep Ramp, Subsection 0",0.0,0.0
306,"Channel Islands Western Deep Ramp, Subsection 1",0.0,0.0
307,"Channel Islands Western Deep Ramp, Subsection 2",0.0,0.0
308,"Channel Islands Western Deep Ramp, Subsection 3",0.0,0.0
309,"Channel Islands Western Deep Ramp, Subsection 4",0.0,0.0
310,"Channel Islands Western Deep Ramp, Subsection 5",0.0,0.0
311,"Chino alt 1, Subsection 0",0.0,0.0
312,"Chino alt 1, Subsection 1",0.0,0.0
313,"Chino alt 1, Subsection 2",0.0,0.0
314,"Chino alt 1, Subsection 3",0.0,0.0
315,"Chino alt 1, Subsection 4",0.0,0.0
316,"Clamshell-Sawpit, Subsection 0",0.0,0.0
317,"Clamshell-Sawpit, Subsection 1",0.0,0.0
318,"Clayton, Subsection 0",0.0,0.0
319,"Clayton, Subsection 1",0.0,0.0
320,"Clayton, Subsection 2",0.0,0.0
321,"Cleghorn, Subsection 0",0.0,0.0
322,"Cleghorn, Subsection 1",0.0,0.0
323,"Cleghorn, Subsection 2",0.0,0.0
324,"Cleghorn, Subsection 3",0.0,0.0
325,"Cleghorn Lake, Subsection 0",0.0,0.0
326,"Cleghorn Lake, Subsection 1",0.0,0.0
327,"Cleghorn Lake, Subsection 2",0.0,0.0
328,"Cleghorn Lake, Subsection 3",0.0,0.0
329,"Cleghorn Lake, Subsection 4",0.0,0.0
330,"Cleghorn Pass, Subsection 0",0.0,0.0
331,"Cleghorn Pass, Subsection 1",0.0,0.0
332,"Cleghorn Pass, Subsection 2",0.0,0.0
333,"Cleghorn Pass, Subsection 3",0.0,0.0
334,"Collayami 2011 CFM, Subsection 0",0.0,0.0
335,"Collayami 2011 CFM, Subsection 1",0.0,0.0
336,"Collayami 2011 CFM, Subsection 2",0.0,0.0
337,"Collayami 2011 CFM, Subsection 3",0.0,0.0
338,"Collayami 2011 CFM, Subsection 4",0.0,0.0
339,"Collayami 2011 CFM, Subsection 5",0.0,0.0
340,"Collayami 2011 CFM, Subsection 6",0.0,0.0
341,"Compton, Subsection 0",0.0,0.0
342,"Compton, Subsection 1",0.0,0.0
343,"Compton, Subsection 2",0.0,0.0
344,"Compton, Subsection 3",0.0,0.0
345,"Compton, Subsection 4",0.0,0.0
346,"Concord 2011 CFM, Subsection 0",0.0,0.0
347,"Concord 2011 CFM, Subsection 1",0.0,0.0
348,"Concord 2011 CFM, Subsection 2",0.0,0.0
349,"Contra Costa (Lafayette) 2011 CFM, Subsection 0",0.0,0.0
350,"Contra Costa (Lafayette) 2011 CFM, Subsection 1",0.0,0.0
351,"Contra Costa Shear Zone (connector) 2011 CFM, Subsection 0",0.0,0.0
352,"Contra Costa Shear Zone (connector) 2011 CFM, Subsection 1",0.0,0.0
353,"Contra Costa Shear Zone (connector) 2011 CFM, Subsection 2",0.0,0.0
354,"Contra Costa Shear Zone (connector) 2011 CFM, Subsection 3",0.0,0.0
355,"Contra Costa Shear Zone (connector) 2011 CFM, Subsection 4",0.0,0.0
356,"Coronado Bank alt1, Subsection 0",0.0,0.0
357,"Coronado Bank alt1, Subsection 1",0.0,0.0
358,"Coronado Bank alt1, Subsection 2",0.0,0.0
359,"Coronado Bank alt1, Subsection 3",0.0,0.0
360,"Coronado Bank alt1, Subsection 4",0.0,0.0
361,"Coronado Bank alt1, Subsection 5",0.0,0.0
362,"Coronado Bank alt1, Subsection 6",0.0,0.0
363,"Coronado Bank alt1, Subsection 7",0.0,0.0
364,"Coronado Bank alt1, Subsection 8",0.0,0.0
365,"Coronado Bank alt1, Subsection 9",0.0,0.0
366,"Coronado Bank alt1, Subsection 10",0.0,0.0
367,"Coronado Bank alt1, Subsection 11",0.0,0.0
368,"Coronado Bank alt1, Subsection 12",0.0,0.0
369,"Coronado Bank alt1, Subsection 13",0.0,0.0
370,"Coronado Bank alt1, Subsection 14",0.0,0.0
371,"Coronado Bank alt1, Subsection 15",0.0,0.0
372,"Coronado Bank alt1, Subsection 16",0.0,0.0
373,"Coronado Bank alt1, Subsection 17",0.0,0.0
374,"Coronado Bank alt1, Subsection 18",0.0,0.0
375,"Coronado Bank alt1, Subsection 19",0.0,0.0
376,"Coronado Bank alt1, Subsection 20",0.0,0.0
377,"Coronado Bank alt1, Subsection 21",0.0,0.0
378,"Coronado Bank alt1, Subsection 22",0.0,0.0
379,"Coronado Bank alt1, Subsection 23",0.0,0.0
380,"Coronado Bank alt1, Subsection 24",0.0,0.0
381,"Coronado Bank alt1, Subsection 25",0.0,0.0
382,"Coronado Bank alt1, Subsection 26",0.0,0.0
383,"Coronado Bank alt1, Subsection 27",0.0,0.0
384,"Coronado Bank alt1, Subsection 28",0.0,0.0
385,"Coronado Bank alt1, Subsection 29",0.0,0.0
386,"Coronado Bank alt1, Subsection 30",0.0,0.0
387,"Coyote Canyon, Subsection 0",0.0,0.0
388,"Coyote Canyon, Subsection 1",0.0,0.0
389,"Coyote Canyon, Subsection 2",0.0,0.0
390,"Coyote Canyon, Subsection 3",0.0,0.0
391,"Coyote Canyon, Subsection 4",0.0,0.0
392,"Coyote Canyon, Subsection 5",0.0,0.0
393,"Coyote Canyon, Subsection 6",0.0,0.0
394,"Coyote Lake, Subsection 0",0.0,0.0
395,"Coyote Lake, Subsection 1",0.0,0.0
396,"Coyote Lake, Subsection 2",0.0,0.0
397,"Coyote Lake, Subsection 3",0.0,0.0
398,"Coyote Lake, Subsection 4",0.0,0.0
399,"Coyote Lake, Subsection 5",0.0,0.0
400,"Coyote Lake, Subsection 6",0.0,0.0
401,"Coyote Lake, Subsection 7",0.0,0.0
402,"Cucamonga, Subsection 0",0.0,0.0
403,"Cucamonga, Subsection 1",0.0,0.0
404,"Cucamonga, Subsection 2",0.0,0.0
405,"Cucamonga, Subsection 3",0.0,0.0
406,"Davis Creek, Subsection 0",0.0,0.0
407,"Davis Creek, Subsection 1",0.0,0.0
408,"Davis Creek, Subsection 2",0.0,0.0
409,"Davis Creek, Subsection 3",0.0,0.0
410,"Davis Creek, Subsection 4",0.0,0.0
411,"Davis Creek, Subsection 5",0.0,0.0
412,"Death Valley (Black Mtns Frontal), Subsection 0",0.0,0.0
413,"Death Valley (Black Mtns Frontal), Subsection 1",0.0,0.0
414,"Death Valley (Black Mtns Frontal), Subsection 2",0.0,0.0
415,"Death Valley (Black Mtns Frontal), Subsection 3",0.0,0.0
416,"Death Valley (Black Mtns Frontal), Subsection 4",0.0,0.0
417,"Death Valley (Black Mtns Frontal), Subsection 5",0.0,0.0
418,"Death Valley (Black Mtns Frontal), Subsection 6",0.0,0.0
419,"Death Valley (Black Mtns Frontal), Subsection 7",0.0,0.0
420,"Death Valley (Black Mtns Frontal), Subsection 8",0.0,0.0
421,"Death Valley (Black Mtns Frontal), Subsection 9",0.0,0.0
422,"Death Valley (Black Mtns Frontal), Subsection 10",0.0,0.0
423,"Death Valley (Fish Lake Valley), Subsection 0",0.0,0.0
424,"Death Valley (Fish Lake Valley), Subsection 1",0.0,0.0
425,"Death Valley (Fish Lake Valley), Subsection 2",0.0,0.0
426,"Death Valley (Fish Lake Valley), Subsection 3",0.0,0.0
427,"Death Valley (Fish Lake Valley), Subsection 4",0.0,0.0
428,"Death Valley (Fish Lake Valley), Subsection 5",0.0,0.0
429,"Death Valley (Fish Lake Valley), Subsection 6",0.0,0.0
430,"Death Valley (Fish Lake Valley), Subsection 7",0.0,0.0
431,"Death Valley (Fish Lake Valley), Subsection 8",0.0,0.0
432,"Death Valley (Fish Lake Valley), Subsection 9",0.0,0.0
433,"Death Valley (Fish Lake Valley), Subsection 10",0.0,0.0
434,"Death Valley (Fish Lake Valley), Subsection 11",0.0,0.0
435,"Death Valley (No), Subsection 0",0.0,0.0
436,"Death Valley (No), Subsection 1",0.0,0.0
437,"Death Valley (No), Subsection 2",0.0,0.0
438,"Death Valley (No), Subsection 3",0.0,0.0
439,"Death Valley (No), Subsection 4",0.0,0.0
440,"Death Valley (No), Subsection 5",0.0,0.0
441,"Death Valley (No), Subsection 6",0.0,0.0
442,"Death Valley (No), Subsection 7",0.0,0.0
443,"Death Valley (No), Subsection 8",0.0,0.0
444,"Death Valley (No), Subsection 9",0.0,0.0
445,"Death Valley (No), Subsection 10",0.0,0.0
446,"Death Valley (No), Subsection 11",0.0,0.0
447,"Death Valley (No), Subsection 12",0.0,0.0
448,"Death Valley (No), Subsection 13",0.0,0.0
449,"Death Valley (No), Subsection 14",0.0,0.0
450,"Death Valley (No), Subsection 15",0.0,0.0
451,"Death Valley (No), Subsection 16",0.0,0.0
452,"Death Valley (So), Subsection 0",0.0,0.0
453,"Death Valley (So), Subsection 1",0.0,0.0
454,"Death Valley (So), Subsection 2",0.0,0.0
455,"Death Valley (So), Subsection 3",0.0,0.0
456,"Death Valley (So), Subsection 4",0.0,0.0
457,"Death Valley (So), Subsection 5",0.0,0.0
458,"Death Valley (So), Subsection 6",0.0,0.0
459,"Deep Springs, Subsection 0",0.0,0.0
460,"Deep Springs, Subsection 1",0.0,0.0
461,"Deep Springs, Subsection 2",0.0,0.0
462,"Del Valle, Subsection 0",0.0,0.0
463,"Del Valle, Subsection 1",0.0,0.0
464,"Dog Valley, Subsection 0",0.0,0.0
465,"Dog Valley, Subsection 1",0.0,0.0
466,"Dog Valley, Subsection 2",0.0,0.0
467,"Dog Valley, Subsection 3",0.0,0.0
