Magnitude,ComCat Data,Simulation Mean,Simulation Median,Simulation Mode,Simulation Minimum,Simulation Maximum,2.5 %-ile,16 %-ile,84 %-ile,97.5 %-ile
4.65,6.0,3.4,3.0,3.0,1.0,5.0,1.0,2.0,5.0,5.0
4.75,3.0,3.3,3.0,3.0,1.0,9.0,1.0,1.0,5.0,9.0
4.85,5.0,3.3,3.0,1.0,1.0,9.0,1.0,1.0,5.0,9.0
4.95,2.0,1.7,1.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0
5.05,1.0,2.6,2.0,3.0,1.0,6.0,1.0,1.0,4.0,6.0
5.15,0.0,1.3,1.0,1.0,0.0,3.0,0.0,0.0,3.0,3.0
5.25,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,3.0
5.35,0.0,1.0,1.0,1.0,0.0,3.0,0.0,0.0,2.0,3.0
5.45,1.0,0.8,1.0,1.0,0.0,2.0,0.0,0.0,2.0,2.0
5.55,1.0,1.0,1.0,1.0,0.0,4.0,0.0,0.0,2.0,4.0
5.65,0.0,0.6,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0
5.75,0.0,0.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
5.85,0.0,0.3,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
5.95,0.0,0.2,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
6.05,0.0,0.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
6.15,0.0,0.4,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0
6.25,0.0,0.2,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
6.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
