Magnitude,ComCat Data,Simulation Mean,Simulation Median,Simulation Mode,Simulation Minimum,Simulation Maximum,2.5 %-ile,16 %-ile,84 %-ile,97.5 %-ile
4.4,35.0,35.2,35.0,37.0,24.0,48.0,24.0,27.0,47.0,48.0
4.5,29.0,27.7,27.0,30.0,19.0,38.0,19.0,20.0,36.0,38.0
4.6,19.0,21.3,23.0,23.0,13.0,35.0,13.0,14.0,26.0,35.0
4.7,13.0,17.9,18.0,20.0,10.0,30.0,10.0,11.0,24.0,30.0
4.8,10.0,14.6,13.0,17.0,8.0,21.0,8.0,9.0,21.0,21.0
4.9,5.0,11.3,12.0,12.0,5.0,16.0,5.0,7.0,15.0,16.0
5.0,3.0,9.6,11.0,13.0,3.0,13.0,3.0,5.0,13.0,13.0
5.1,2.0,7.0,7.0,7.0,2.0,12.0,2.0,3.0,10.0,12.0
5.2,2.0,5.7,6.0,6.0,2.0,12.0,2.0,3.0,8.0,12.0
5.3,2.0,4.7,4.0,3.0,2.0,12.0,2.0,3.0,6.0,12.0
5.4,2.0,3.7,2.0,2.0,1.0,10.0,1.0,2.0,6.0,10.0
5.5,1.0,2.9,2.0,2.0,0.0,8.0,0.0,0.0,5.0,8.0
5.6,0.0,1.9,2.0,2.0,0.0,4.0,0.0,0.0,4.0,4.0
5.7,0.0,1.3,1.0,0.0,0.0,3.0,0.0,0.0,3.0,3.0
5.8,0.0,1.2,1.0,2.0,0.0,3.0,0.0,0.0,2.0,3.0
5.9,0.0,0.9,1.0,1.0,0.0,3.0,0.0,0.0,2.0,3.0
6.0,0.0,0.7,0.0,0.0,0.0,3.0,0.0,0.0,2.0,3.0
6.1,0.0,0.6,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0
6.2,0.0,0.2,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
